cpf;nome;email;telefone;linkCurriculo;status;departamento;perfilProfissional;curriculo
340.152.679-07;Sabrina Aragão;alexandrecarvalho@example.org;71 6245-7657;https://curriculo-ficticio.com/id8374;Candidato Ativo;RH;Analista Financeiro Pleno;Facilis non soluta sint hic quis.
843.069.257-65;Liz Moreira;antonellamelo@example.net;0500 790 1958;https://curriculo-ficticio.com/id2356;Rejeitado;TI;Analista de Mídias Sociais;Hic quasi cumque voluptatem excepturi qui. Id dolorem ipsam placeat repudiandae hic.
579.126.438-00;Lorena Farias;domabreu@example.org;(041) 5297-9071;https://curriculo-ficticio.com/id5915;Rejeitado;RH;Engenheiro de Dados Júnior;Minima quae dolore et veritatis quasi.
492.586.073-92;Maria Cecília Barros;alicia74@example.org;(011) 9425 2078;https://curriculo-ficticio.com/id4449;Entrevista Final;Vendas;Recrutador Tech;Corporis consequuntur error temporibus.
357.809.416-10;Noah Mendonça;ravileao@example.net;+55 (041) 3048 3986;https://curriculo-ficticio.com/id9852;Rejeitado;Financeiro;Desenvolvedor Back-End;Nihil iste beatae dolorum aut nobis accusamus. Itaque nihil ut nemo architecto.
241.589.076-67;Luiz Miguel Santos;adias@example.net;(081) 9370 0694;https://curriculo-ficticio.com/id3527;Candidato Ativo;RH;Desenvolvedor Back-End;Itaque impedit adipisci excepturi aperiam architecto. Totam praesentium quas voluptatibus necessitatibus non.
260.479.183-87;Daniel Sales;luiz-felipeda-rocha@example.org;(071) 1333-1740;https://curriculo-ficticio.com/id8206;Rejeitado;RH;Analista Financeiro Pleno;Vel cupiditate delectus error harum.
261.074.589-30;Camila Lopes;igor73@example.com;21 5667 8997;https://curriculo-ficticio.com/id1442;Rejeitado;Vendas;Analista Financeiro Pleno;Atque ipsa ducimus ipsam nihil cumque corporis. Accusantium alias fugiat.
498.730.165-20;Thiago Lopes;domnovaes@example.net;(031) 7205-0900;https://curriculo-ficticio.com/id4906;Em Avaliação;TI;Analista Financeiro Pleno;Aliquam nobis provident necessitatibus maxime illo natus. Cupiditate aliquid reiciendis.
184.530.296-60;Sra. Rebeca da Cruz;gomeskevin@example.com;84 6986 9267;https://curriculo-ficticio.com/id7667;Rejeitado;Vendas;Engenheiro de Dados Júnior;Qui cupiditate eligendi natus atque quasi. Labore voluptatibus sunt praesentium inventore possimus dolorem atque.
284.519.763-28;Sabrina Ribeiro;da-luzdavi@example.net;+55 (081) 2058 7236;https://curriculo-ficticio.com/id3636;Entrevista Final;RH;Analista de Mídias Sociais;Minus impedit voluptatibus error voluptas laboriosam consequuntur.
654.123.908-89;Laura Araújo;leo66@example.com;+55 21 3071-2668;https://curriculo-ficticio.com/id4239;Candidato Ativo;Marketing;Gerente Comercial;Dignissimos non quae dolorum aliquam aliquam repellat.
276.934.051-43;Giovanna Montenegro;luiz-otavio81@example.com;0500 292 9657;https://curriculo-ficticio.com/id7793;Candidato Ativo;RH;Desenvolvedor Back-End;Dolorum dolorem distinctio.
726.395.401-06;Dr. Valentim Novaes;osa@example.net;+55 (081) 7805-3159;https://curriculo-ficticio.com/id7908;Rejeitado;TI;Gerente Comercial;Maiores temporibus velit non quaerat.
916.732.405-34;Melissa Garcia;maria-vitoriabarros@example.net;0500 616 4896;https://curriculo-ficticio.com/id7409;Rejeitado;TI;Gerente Comercial;Inventore pariatur asperiores voluptatum voluptate ducimus quia. Iusto eveniet laboriosam.
086.347.529-92;Yan Montenegro;sarabarbosa@example.org;41 1623 3915;https://curriculo-ficticio.com/id3246;Entrevista Final;TI;Gerente Comercial;At nostrum dolorum neque quasi quasi quidem. Delectus velit assumenda nostrum.
368.970.125-21;Luiz Felipe Sousa;ana-lauraalbuquerque@example.org;(084) 5452 2213;https://curriculo-ficticio.com/id4952;Em Avaliação;Vendas;Analista Financeiro Pleno;Odio soluta magnam eligendi enim asperiores culpa.
496.138.527-19;Dra. Clara Martins;gael-henrique69@example.net;+55 (011) 2080 0294;https://curriculo-ficticio.com/id6727;Rejeitado;TI;Analista Financeiro Pleno;Dolorum est necessitatibus error. Ipsam beatae eaque tenetur.
390.856.127-21;Sr. Lucca Pastor;ferreiraian@example.com;+55 81 7493 6695;https://curriculo-ficticio.com/id4043;Entrevista Final;RH;Analista Financeiro Pleno;Nisi est provident odit reiciendis quaerat alias. Voluptate facilis facere.
862.705.413-44;Bruna da Cruz;alexiafogaca@example.org;61 4435-5909;https://curriculo-ficticio.com/id1726;Em Avaliação;Financeiro;Recrutador Tech;Aliquid a quidem ipsa.
415.830.762-71;Maria Alice Pastor;maria-luizaaragao@example.com;+55 (061) 2397 8669;https://curriculo-ficticio.com/id4079;Candidato Ativo;Financeiro;Engenheiro de Dados Júnior;Omnis eius temporibus ab. Perspiciatis quae assumenda.
549.780.613-93;Henry Brito;maria-luiza37@example.org;(051) 1830-3607;https://curriculo-ficticio.com/id9355;Candidato Ativo;RH;Engenheiro de Dados Júnior;Corrupti nemo blanditiis rerum neque non sapiente.
710.542.863-53;Dra. Luiza Rocha;da-cruzthomas@example.com;+55 (011) 2111 2715;https://curriculo-ficticio.com/id7479;Entrevista Final;Vendas;Gerente Comercial;Distinctio debitis exercitationem harum officia.
837.916.425-37;Dr. Levi Câmara;yasmin26@example.com;+55 (011) 2373 8118;https://curriculo-ficticio.com/id8793;Em Avaliação;Vendas;Engenheiro de Dados Júnior;Temporibus aliquam quam nostrum rerum eligendi.
725.968.143-82;Bruna Peixoto;tferreira@example.net;84 8096 6452;https://curriculo-ficticio.com/id2471;Entrevista Final;TI;Analista Financeiro Pleno;Cumque animi animi iste eum alias beatae minus. Incidunt numquam itaque eum earum.
963.452.701-99;Sr. Yuri Garcia;diasthomas@example.net;(081) 9735-8860;https://curriculo-ficticio.com/id3880;Entrevista Final;TI;Analista Financeiro Pleno;Ut nisi repellat nesciunt quam. Beatae tempore atque vitae dolore quisquam.
513.706.924-80;Alana Monteiro;lduarte@example.org;+55 (061) 2821-1840;https://curriculo-ficticio.com/id8023;Candidato Ativo;RH;Engenheiro de Dados Júnior;Adipisci necessitatibus consequuntur inventore amet. Natus magnam ipsa exercitationem mollitia.
029.865.741-49;Pedro Lucas Dias;albuquerquebarbara@example.org;+55 21 7950-5410;https://curriculo-ficticio.com/id6435;Entrevista Final;Financeiro;Analista de Mídias Sociais;Laborum qui eveniet.
423.579.810-32;Antonella Barbosa;maria-sophia69@example.net;+55 (061) 9094-7563;https://curriculo-ficticio.com/id6398;Entrevista Final;Vendas;Analista Financeiro Pleno;Ipsum reiciendis omnis exercitationem sunt magni ipsam. Omnis ab occaecati distinctio quae ea.
387.624.519-28;Gabrielly Farias;da-cunhamaria-fernanda@example.net;+55 (011) 8131 7826;https://curriculo-ficticio.com/id4172;Em Avaliação;RH;Analista Financeiro Pleno;Labore corporis suscipit eum qui.
782.346.091-22;Ana Beatriz Pereira;piresanna-liz@example.net;+55 (081) 8956 1778;https://curriculo-ficticio.com/id3260;Candidato Ativo;Marketing;Analista Financeiro Pleno;Exercitationem sunt deserunt praesentium consequuntur suscipit. Quasi dolorem iste expedita labore modi amet expedita.
928.360.754-65;Enzo Gabriel Cirino;pvieira@example.com;41 7586-7447;https://curriculo-ficticio.com/id3339;Rejeitado;RH;Engenheiro de Dados Júnior;Asperiores tenetur voluptates amet eaque quam. Amet assumenda exercitationem libero ratione voluptate dolores.
236.745.098-65;Bernardo Sampaio;ribeirodanilo@example.net;+55 (061) 3151 1497;https://curriculo-ficticio.com/id2590;Em Avaliação;Marketing;Desenvolvedor Back-End;Debitis maiores quae aliquam quasi quaerat maiores voluptatem.
281.745.963-64;José Nascimento;macedomaysa@example.net;0800 547 4537;https://curriculo-ficticio.com/id7603;Entrevista Final;Vendas;Analista de Mídias Sociais;Vel adipisci harum voluptate.
158.469.302-98;Maria Alice das Neves;emachado@example.com;(021) 8005 8310;https://curriculo-ficticio.com/id2782;Em Avaliação;RH;Analista de Mídias Sociais;Alias quidem vero exercitationem enim reiciendis iure. Atque at blanditiis omnis.
259.871.340-05;Dra. Daniela Lima;wda-paz@example.com;41 9278 9033;https://curriculo-ficticio.com/id4501;Em Avaliação;Financeiro;Analista de Mídias Sociais;Necessitatibus officiis quisquam. Et culpa aliquid mollitia repudiandae commodi.
031.526.784-44;Sra. Eloah Rocha;leaomaria-flor@example.net;+55 (011) 3425 9298;https://curriculo-ficticio.com/id9676;Entrevista Final;Vendas;Analista Financeiro Pleno;Aperiam fugit facilis inventore. Consequuntur facilis explicabo optio architecto.
912.670.543-52;Rhavi Alves;guilherme67@example.com;0500-578-4278;https://curriculo-ficticio.com/id3508;Rejeitado;Marketing;Analista de Mídias Sociais;Quia nam nam placeat officia natus.
